Id,latitud,longitd,ar_n_mt,nndist_mean,area_mean,perimeter_mean,compact_mean,angle_mean,shape_mean,wealth_index,median_age,NDWI,EVI,temperature_c,soil_moisture_index,distance_to_water_m,sanitation_index,classification,tpr
1,7.37719916,3.92707779,289.7862,11.38291217,289.485052,73.25701102,0.67785627,97.11466144,0.487919418,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.565656566
2,7.38417726,3.93033456,140.5454,7.695728871,140.5454458,47.73295398,0.775157615,204.9744782,0.614369886,0.25,32,0.196938776,0.293877551,27.62068966,0.387755102,1510.204082,0.370408163,4,0.590909091
3,7.37619121,3.93598511,33.4186,4.739799331,33.41856142,24.53111413,0.697851584,292.2894463,0.504427385,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.994949495
4,7.37802116,3.93462343,102.0663,8.22529602,102.066329,45.23370471,0.626856367,40.40335688,0.500978641,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.904040404
5,7.38052078,3.93134286,148.0761,11.50947524,148.0760769,50.70821032,0.723666049,309.2372568,0.539362507,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.61010101
6,7.37637525,3.93216424,70.138,6.617658775,70.13803053,37.64201505,0.622039126,30.54413686,0.414637157,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.944444444
7,7.37262826,3.93578854,48.7768,10.43390099,48.77677186,32.21205354,0.590726011,115.2862898,0.381086025,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.984848485
8,7.37769716,3.92456969,32.3546,8.328753304,32.35458959,25.67297977,0.616869364,136.1025441,0.489474017,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.797979798
9,7.37791228,3.93257689,164.8705,9.20666491,164.8704844,51.3332621,0.786239848,35.3968931,0.632523225,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.568686869
10,7.38565865,3.92975777,121.5287,12.23616724,121.5287013,44.09420092,0.785463064,87.91700656,0.630534725,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.539393939
11,7.38515906,3.9256222,27.1594,10.33762091,27.15937457,20.80654551,0.788369233,263.9466653,0.635346304,0.414285714,51,0.5,0.484693878,24.96551724,0.464285714,1016.326531,0.317346939,7,0.217171717
12,7.38490387,3.92207523,155.3707,11.67977499,155.37075,52.89232638,0.697900947,138.397622,0.561090792,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.602020202
13,7.37189811,3.93587726,192.6009,12.58180425,192.6009306,55.86948098,0.775387815,298.6941568,0.615029941,0.25,32,0.196938776,0.293877551,27.62068966,0.387755102,1510.204082,0.370408163,4,0.545454545
14,7.37885765,3.91870981,235.4489,12.67880887,235.4488554,68.91975854,0.622900893,42.4576883,0.602033704,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.424242424
15,7.38632329,3.92049157,181.5874,12.04257605,181.5874454,59.56142003,0.64322897,222.4576926,0.469337537,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.416161616
16,7.37768826,3.93215254,10.0149,13.4958178,10.01491899,12.75314149,0.773789707,26.98928048,0.613352212,0.687755102,27,0.004081633,0.18877551,23.37931034,0.243877551,1153.061224,0.67244898,1,0.253535354
17,7.37572945,3.93489554,156.3931,11.28980612,156.3931465,50.19328525,0.780074959,93.66749224,0.622076842,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.582828283
18,7.38443034,3.92279618,33.5845,5.268032092,33.58452941,23.23469258,0.781763284,357.3980881,0.625283358,0.414285714,51,0.5,0.484693878,24.96551724,0.464285714,1016.326531,0.317346939,7,0.1
19,7.37843858,3.92284345,163.9603,8.036842431,163.9602806,51.67836257,0.771491291,86.40426676,0.608835981,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.551515152
20,7.37498799,3.93412607,201.457,8.720456663,201.4569601,56.68260494,0.787938895,125.9240062,0.635196262,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.545454545
21,7.38473173,3.92715153,204.9046,9.247809423,204.9046387,57.92609238,0.767384794,117.4226603,0.602579757,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.535353535
22,7.38447273,3.92236935,25.3802,9.773862646,25.38015631,21.13083394,0.714283935,252.4844079,0.527139471,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.575757576
23,7.37925629,3.93205695,145.2622,12.00886401,145.2621604,48.43733001,0.778040083,286.5704298,0.619308531,0.25,32,0.196938776,0.293877551,27.62068966,0.387755102,1510.204082,0.370408163,4,0.560606061
24,7.38835264,3.92917184,14.9764,11.15839236,14.97640231,15.57159651,0.77615968,9.083863766,0.616351651,0.687755102,27,0.004081633,0.18877551,23.37931034,0.243877551,1153.061224,0.67244898,1,0.314141414
25,7.38514079,3.93307241,273.6783,13.00701752,273.6783106,67.38050299,0.757498448,324.1509371,0.587348954,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.496969697
26,7.3843085,3.9280508,142.0351,11.05369834,142.0350588,47.72997831,0.783471035,148.1425796,0.627703168,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.505050505
27,7.37279264,3.93520277,217.9004,12.27816585,217.9003823,59.43438556,0.775161691,256.6021579,0.614321715,0.25,32,0.196938776,0.293877551,27.62068966,0.387755102,1510.204082,0.370408163,4,0.525252525
28,7.37607007,3.93724258,189.1,11.25562681,189.0999987,55.15240134,0.781218532,201.8159098,0.623877008,0.25,32,0.196938776,0.293877551,27.62068966,0.387755102,1510.204082,0.370408163,4,0.593939394
29,7.37670018,3.9375178,202.4393,12.75157716,202.4392699,57.61058136,0.766478736,8.081630459,0.6009211,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.565656566
30,7.37529492,3.92164324,138.7528,7.560831857,138.7528053,51.76114891,0.650794421,130.0618177,0.50868221,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.755555556
31,7.37992139,3.92152165,193.0563,13.96414422,193.0563002,56.51138136,0.759664788,123.7128421,0.590665668,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.58989899
32,7.37525293,3.9309232,125.3435,8.476475436,125.3435119,47.02588283,0.712258774,116.2357518,0.523612309,0.4,64,0.371428571,0.468367347,25.82758621,0.507142857,814.2857143,0.359183673,3,0.735353535
33,7.38498592,3.93334029,24.898,7.345500038,24.89800334,22.52315151,0.616759814,314.2757428,0.408417539,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.984848485
34,7.37301872,3.93425337,47.6452,8.901109066,47.64515802,29.3620159,0.694475448,28.17027204,0.500800198,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.505050505
35,7.3843461,3.92888544,162.829,12.50554366,162.8289904,51.61583387,0.768025603,23.10641711,0.618115473,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.534343434
36,7.39006941,3.92906755,296.6373,16.49501639,296.6373208,81.66171702,0.558983051,309.5306579,0.416311184,0.385714286,40,0.187755102,0.247959184,29.51724138,0.38877551,1008.163265,0.578571429,5,0.188888889
37,7.37261098,3.93905937,169.6837,10.22117135,169.6836943,52.5111996,0.773296591,103.7007301,0.611401972,0.504081633,29,0.180612245,0.17755102,23.4137931,0.383673469,1691.836735,0.506122449,2,0.543434343
38,7.37244459,3.9363664,31.0774,8.870763109,31.07743554,23.65906839,0.6976856,225.1377209,0.504485327,0.223469388,25,0.659183673,0.484693878,30,0.707142857,50,0.101020408,8,0.964646465
