"sn","bi2","n_tested","n_positive","positivity","lon","lat"
10001,"1. Agugu",3,0,0,3.92094206809998,7.38527297973633
10002,"1. Agugu",5,1,0.2,3.92301893234253,7.38661241531372
10003,"1. Agugu",1,0,0,3.92334580421448,7.38680458068848
10004,"1. Agugu",4,0,0,3.9210479259491,7.38537788391113
10005,"1. Agugu",4,0,0,3.92043924331665,7.38626194000244
10006,"1. Agugu",5,1,0.2,3.92123293876648,7.38542413711548
10007,"1. Agugu",4,0,0,3.92128992080688,7.38540410995483
10008,"1. Agugu",4,0,0,3.9212338924408,7.38542604446411
10009,"1. Agugu",3,3,1,3.9215099811554,7.38541507720947
10010,"1. Agugu",0,0,NA,3.92160296440125,7.38531112670898
10011,"1. Agugu",4,2,0.5,3.92149901390076,7.38531303405762
10012,"1. Agugu",5,0,0,3.92418479919434,7.38729667663574
10013,"1. Agugu",5,0,0,3.92163181304932,7.3853440284729
10014,"1. Agugu",1,0,0,3.91948390007019,7.3853440284729
10015,"1. Agugu",1,0,0,3.91933751106262,7.38445329666138
10016,"1. Agugu",3,0,0,3.92075777053833,7.38527345657349
10017,"1. Agugu",3,0,0,3.92151999473572,7.38535690307617
10018,"1. Agugu",1,0,0,3.92118096351624,7.38553476333618
10019,"1. Agugu",5,0,0,3.92163801193237,7.38519477844238
10020,"1. Agugu",4,1,0.25,3.92068552970886,7.38524389266968
10021,"1. Agugu",3,1,0.333333333333333,3.92279505729675,7.38648128509521
10022,"1. Agugu",4,0,0,3.92158460617065,7.38577127456665
10023,"1. Agugu",3,0,0,3.92275166511536,7.38645601272583
10024,"1. Agugu",5,1,0.2,3.92189741134644,7.38545560836792
10025,"1. Agugu",4,3,0.75,3.92392683029175,7.38714551925659
10027,"1. Agugu",5,0,0,3.92175197601318,7.38546085357666
10028,"1. Agugu",2,0,0,3.92175197601318,7.38544797897339
10029,"1. Agugu",2,0,0,3.92244911193848,7.38627862930298
10030,"1. Agugu",0,0,NA,3.92135167121887,7.38505792617798
10031,"1. Agugu",1,0,0,3.92158007621765,7.38494396209717
10032,"1. Agugu",2,0,0,3.92180585861206,7.38486242294312
10033,"1. Agugu",4,1,0.25,3.92131304740906,7.38481092453003
10034,"1. Agugu",1,0,0,3.92136311531067,7.38485383987427
10035,"1. Agugu",2,0,0,3.92180109024048,7.3849081993103
10036,"1. Agugu",1,0,0,3.92173504829407,7.38501310348511
10037,"1. Agugu",1,0,0,3.91955757141113,7.38458251953125
10038,"1. Agugu",2,1,0.5,3.92208218574524,7.38471031188965
10039,"1. Agugu",1,0,0,3.92150235176086,7.38572311401367
10040,"1. Agugu",1,0,0,3.92176198959351,7.38483190536499
10041,"1. Agugu",3,2,0.666666666666667,3.92121458053589,7.38555431365967
10042,"1. Agugu",3,0,0,3.91924381256104,7.38439846038818
10043,"1. Agugu",3,1,0.333333333333333,3.9212007522583,7.38554620742798
10044,"1. Agugu",2,0,0,3.92180109024048,7.38533401489258
10045,"1. Agugu",3,0,0,3.92376589775085,7.38705110549927
10046,"1. Agugu",4,1,0.25,3.92118906974792,7.38499689102173
